Spp,name
313,Eastern Bronze-naped Pigeon
314,Red-eyed Dove
315,African Mourning Dove
316,Cape Turtle-dove
317,Laughing Dove
318,Namaqua Dove
319,Tambourine Dove
320,Blue-spotted Wood-dove
321,Emerald-spotted Wood-dove
322,Lemon Dove
323,African Green-pigeon
327,Meyer's Parrot
328,Brown-headed Parrot
329,Rüppell's Parrot
330,Rosy-faced Lovebird
331,Black-cheeked Lovebird
332,Lilian's Lovebird
337,Purple-crested Turaco
338,Schalow's Turaco
339,Grey Go-away-bird
340,Common Cuckoo
341,African Cuckoo
343,Red-chested Cuckoo
344,Black Cuckoo
345,Thick-billed Cuckoo
346,Great Spotted Cuckoo
347,Levaillant's Cuckoo
348,Jacobin Cuckoo
350,African Emerald Cuckoo
351,Klaas's Cuckoo
352,Diderick Cuckoo
353,Black Coucal
354,Coppery-tailed Coucal
355,Senegal Coucal
357,Montane (Mountain) Nightjar
358,Green Malkoha
359,Barn Owl
360,African Grass-owl
361,Marsh Owl
362,African Wood-owl
363,African Scops-owl
364,Southern White-faced Scops-owl
365,Pearl-spotted Owlet
366,African Barred Owlet
367,Cape Eagle-owl
368,Spotted Eagle-owl
369,Verreaux's Eagle-owl
370,Pel's Fishing-owl
371,European Nightjar
372,Rufous-cheeked Nightjar
373,Fiery-necked Nightjar
374,Freckled Nightjar
375,Swamp Nightjar
376,Square-tailed Nightjar
377,Pennant-winged Nightjar
378,Common Swift
379,Pallid Swift
380,African Black Swift
381,Bradfield's Swift
382,Mottled Swift
383,White-rumped Swift
384,Horus Swift
385,Little Swift
386,Alpine Swift
387,African Palm-swift
388,Mottled Spinetail
389,Böhm's Spinetail
390,Speckled Mousebird
391,White-backed Mousebird
392,Red-faced Mousebird
393,Narina Trogon
394,Pied Kingfisher
395,Giant Kingfisher
396,Half-collared Kingfisher
397,Malachite Kingfisher
398,African Pygmy-Kingfisher
399,Woodland Kingfisher
400,Mangrove Kingfisher
401,Grey-headed Kingfisher
402,Brown-hooded Kingfisher
403,Striped Kingfisher
404,European Bee-eater
405,Blue-cheeked Bee-eater
406,Madagascar Bee-eater
407,Southern Carmine Bee-eater
408,Böhm's Bee-eater
409,White-fronted Bee-eater
410,Little Bee-eater
